PROJECT_NAME,TYPE_OF_UNIT,COST,PROJECT_STATUS,CONTRACT_TYPE,COMPLETION_DATE,LOCATION,STATE,EVENT_DATE_1,EVENT_1,DATE_OF_COST_OF_PROJECT,Cost_Event1,Cost_Event,Cost_Overrun,CostOverrun,EVENT_DATE_2,EVENT_2,EVENT_DATE_ORIG,MonthDifference,NoOfDays,EVENT_DATE_3
Package-4 of Rasisar-Deogarh (NH-754K) Six Lane Access Controlled Greenfield Highway Project (Part of Amritsar-Jamnagar Economic Corridor) (Bharatmala),New Unit,4883.5,Completed,"Engineering, Procurement & Construction",August 2022,Deogarh,Rajasthan,01 Apr 2017,Date of announcement,2019-02-13,4883.5,4298.9,584.6,Y,2022-12-31,Initial completion date,2022-08-01,Y,152,2019-03-08
Kazhakuttam-Mukkola (NH-47 or new NH-66) Four Lane Highway Project (Phase 1 of Kazhakuttam-Karode Highway) (Bharatmala),Substantial Expansion,8452.4,Completed,"Engineering, Procurement & Construction",December 2022,Chackai,Kerala,30 Mar 2012,Date of announcement,2015-05-14,8452.4,5874.9,2577.5,Y,2022-12-31,Initial completion date,2017-11-30,Y,1857,2015-05-14
Package-1 of Deogarh (Dhandhaniya)-Rajasthan/Gujarat Border (NH-754K) Six Lane Access Controlled Greenfield Highway Project (Part of Amritsar-Jamnagar Economic Corridor) (Bharatmala),New Unit,7104.9,Completed,"Engineering, Procurement & Construction",December 2022,Deogarh (raj),Rajasthan,01 Apr 2017,Date of announcement,2019-06-11,7104.9,4448.9,2656,Y,2022-12-31,Initial completion date,2022-12-01,N,,2019-06-11
Package-6 of Rasisar-Deogarh (NH-754K) Six Lane Access Controlled Greenfield Highway Project (Part of Amritsar-Jamnagar Economic Corridor) (Bharatmala),New Unit,7173.2,Completed,"Engineering, Procurement & Construction",December 2022,Deogarh,Rajasthan,01 Apr 2017,Date of announcement,2019-12-31,7173.2,4645.9,2527.3,Y,2022-12-31,Initial completion date,2022-12-01,N,,2019-10-09
Bhojpur-Buxar (NH-84 & NH-922) Four-Laning Highway Project (Section of Patna-Buxar Highway),Substantial Expansion,17280,Completed,"Engineering, Procurement & Construction",November 2022,Bhojpur,Bihar,12 Aug 2008,Date of announcement,2022-11-14,17280,5937.7,11342.3,Y,2022-12-31,Initial completion date,2020-10-30,Y,792,2011-11-12
Koilwar-Bhojpur (NH-922) Four-Laning Highway Project (Section of Patna-Buxar Highway) (Bharatmala),Substantial Expansion,16620,Completed,"Engineering, Procurement & Construction",November 2022,Bhojpur,Bihar,12 Aug 2008,Date of announcement,2022-11-14,16620,7501,9119,Y,2022-12-31,Initial completion date,2020-03-31,Y,1005,2011-11-12
Raiganj-Dalkola (NH-34) Four Laning Highway (Kolkata-Dalkola) Project,New Unit,9620,Completed,"Engineering, Procurement & Construction",November 2022,Dalkola,West Bengal,01 Jun 2003,Date of announcement,2022-11-17,9620,5804.3,3815.7,Y,2022-12-31,Initial completion date,2010-02-28,Y,4689,2010-02-10
Muzaffarnagar-Haridwar-Dehradun Highway (Delhi-Dehradun Corridor) Project,Substantial Expansion,25850,Completed,Build Operate Transfer,January 2023,Dehradun,Uttarakhand,07 Jul 2004,Date of announcement,2018-01-31,25850,12320,13530,Y,2023-01-01,Completed,2015-12-31,Y,2558,2009-12-29
Kandarwasa village to Bawadi village (Shivgarh) Eight Lane Carriageway Project (Package 22 of Delhi-Mumbai Expressway),Substantial Expansion,10375.3,Completed,"Engineering, Procurement & Construction",January 2023,Bawadi village,Madhya Pradesh,31 Mar 1998,Date of announcement,2018-10-06,10375.3,10375.3,0,N,2023-01-01,Completed,2021-12-31,Y,366,2020-06-23
Jodmi village to Bani village of Mandsaur Eight Lane Carriageway Project (Package 18 of Delhi-Mumbai Expressway),Substantial Expansion,10940,Completed,"Engineering, Procurement & Construction",December 2022,Bani village,Madhya Pradesh,31 Mar 1998,Date of announcement,2022-03-17,10940,9737.8,1202.2,Y,2023-01-02,Initial completion date,2021-12-31,Y,367,2019-10-01
Panipat-Shamli (NH-709AD) Four Lane Highway Project (Package 1 of Panipat-Nagina Highway),Substantial Expansion,12530,Completed,"Engineering, Procurement & Construction",January 2023,Panipat,Haryana,10 Jun 2016,Date of announcement,2019-02-20,12530,7814.4,4715.6,Y,2023-01-25,Completed,2022-09-17,Y,130,2019-10-15
Meerut-Baghpat-UP/Haryana Border (Sonipat) (NH-334B) Two Lane Highway Project (Bharatmala),Substantial Expansion,2817.2,Completed,"Engineering, Procurement & Construction",February 2023,Baghpat,Uttar Pradesh,01 Oct 2018,Date of announcement,2019-03-07,2817.2,3710,-892.8,N,2023-02-01,Completed,2022-02-28,Y,338,2019-06-20
Sultanpur-Varanasi (NH-56) Four Laning Highway Project (Package-II),Substantial Expansion,26039.9,Completed,"Engineering, Procurement & Construction",February 2023,Sultanpur,Uttar Pradesh,01 Jul 2011,Date of announcement,2021-12-16,26039.9,8152.8,17887.1,Y,2023-02-01,Completed,2018-06-30,Y,1677,2015-08-26
Telebani-Sambalpur (NH-6) Two/Four Lane Highway Project,Substantial Expansion,7128.2,Completed,"Engineering, Procurement & Construction",February 2023,Sambalpur,Odisha,15 Mar 2013,Date of announcement,2022-07-21,7128.2,6470,658.2,Y,2023-02-01,Completed,2019-11-30,Y,1159,2015-12-31
Mancherial-Repallewada (NH-363) Four Lane Highway Project (Bharatmala),Substantial Expansion,13569,Completed,Hybrid Annuity,February 2023,Mancherial,Telangana,05 Dec 2017,Date of announcement,2022-08-30,13569,10506.3,3062.7,Y,2023-02-01,Completed,2022-11-30,Y,63,2019-03-12
Junction with NH-11 to Start of RoB near junction with NH-11A Eight Lane Carriageway Project (Package 7 of Delhi-Vadodara Expressway on NH-148N) (Delhi-Mumbai Expressway),Substantial Expansion,11512.2,Completed,"Engineering, Procurement & Construction",February 2023,Dausa,Rajasthan,31 Mar 1998,Date of announcement,2018-09-28,11512.2,11512.2,0,N,2023-02-12,Completed,2021-12-31,Y,408,2019-05-28
KMP Expressway to Khanpur Ghati Eight Lane Carriageway Project (Package 2 of Delhi-Vadodara Expressway on NH-148N) (Delhi-Mumbai Expressway),Substantial Expansion,20803.9,Completed,"Engineering, Procurement & Construction",February 2023,Khanpur ghati,Haryana,31 Mar 1998,Date of announcement,2021-03-25,20803.9,11956.4,8847.5,Y,2023-02-12,Completed,2021-12-31,Y,408,2019-03-05
Khanpur Ghati to Haryana/Rajasthan Border Eight Lane Carriageway Project (Package 3 of Delhi-Vadodara Expressway on NH-148N) (Delhi-Mumbai Expressway),Substantial Expansion,20792.5,Completed,"Engineering, Procurement & Construction",February 2023,Haryana/rajasthan border,Haryana,31 Mar 1998,Date of announcement,2019-05-28,20792.5,9972.1,10820.4,Y,2023-02-12,Completed,2021-12-31,Y,408,2019-05-28
RoB near junction with NH-11A to Junction with MDR-1 (Baonli-Jhalai Road) Eight Lane Carriageway Project (Package 8 of Delhi-Vadodara Expressway on NH-148N) (Delhi-Mumbai Expressway),Substantial Expansion,11098.1,Completed,"Engineering, Procurement & Construction",February 2023,Baonli-jhalai road,Rajasthan,31 Mar 1998,Date of announcement,2018-10-04,11098.1,11098.1,0,N,2023-02-12,Completed,2021-12-31,Y,408,2020-02-11
Sohna-Gurugram Road near Alipur Village-KMP Expressway Eight Lane Carriageway Project (Package 1 of Delhi-Vadodara Expressway on NH-148N) (Delhi-Mumbai Expressway),Substantial Expansion,19945.2,Completed,"Engineering, Procurement & Construction",February 2023,Alipur,Haryana,31 Mar 1998,Date of announcement,2021-03-25,19945.2,11440,8505.2,Y,2023-02-12,Completed,2021-12-31,Y,408,2019-03-05
Bawadi village (Shivgarh)-Ranni Village Eight Lane Carriageway Project (Package 23 of Delhi-Vadodara Expressway (Delhi-Mumbai Expressway) (Bharatmala),Substantial Expansion,10470,Completed,"Engineering, Procurement & Construction",February 2023,Bawadi village,Madhya Pradesh,31 Mar 1998,Date of announcement,2022-03-17,10470,11398.9,-928.9,N,2023-02-20,Completed,2021-12-31,Y,416,2019-08-07
Dushehra Village-Arnia Khurd Village (NH-91) Four/Six Lane Divided Carriageway (THDCIL Bypass) Project,Substantial Expansion,4702.6,Completed,"Engineering, Procurement & Construction",March 2023,Arnia khurd village,Uttar Pradesh,06 Sep 2019,Date of announcement,2021-08-02,4702.6,2197,2505.6,Y,2023-03-01,Completed,2022-08-10,Y,203,2020-09-09
Natham-Tuvarankurichi section (NH-785E) Four Lane Highway Project (Bharatmala),Substantial Expansion,5263.2,Completed,"Engineering, Procurement & Construction",March 2023,Natham,Tamil Nadu,13 Sep 2018,Date of announcement,2019-03-31,5263.2,3335.2,1928,Y,2023-03-01,Completed,2022-02-26,Y,368,2019-02-28
Gondal Chowkdi (NH-27) Six Lane Elevated Flyover (Bridge) Project,New Unit,890,Completed,"Engineering, Procurement & Construction",March 2023,Gondal chowkdi,Gujarat,04 Jul 2018,Date of announcement,2023-03-05,890,880,10,Y,2023-03-05,Completed,2020-07-04,Y,974,2018-12-05
Varanasi (NH-29) Four Laning Bypass (Phase 2) Project (Package-II),Substantial Expansion,9727.7,Completed,Hybrid Annuity,December 2022,Varanasi,Uttar Pradesh,20 Aug 2017,Date of announcement,2020-02-29,9727.7,10573.3,-845.6,N,2023-03-31,Initial completion date,2022-12-31,Y,90,2018-06-11
New Four Lane Bridge across Varsova Creek (NH-48) (Surat-Dahisar Section) Project,New Unit,2470.2,Completed,"Engineering, Procurement & Construction",March 2023,Varsova creek,Maharashtra,15 Mar 2015,Date of announcement,2017-03-31,2470.2,1650.7,819.5,Y,2023-03-31,Initial completion date,2017-08-31,Y,2038,2017-03-27
Bardawadi village of Mandsaur to Kamliya village of Ratlam Eight Lane Carriageway Project (Package 20 of Delhi-Mumbai Expressway),Substantial Expansion,7440,Completed,"Engineering, Procurement & Construction",April 2023,Bardawadi village,Madhya Pradesh,31 Mar 1998,Date of announcement,2022-03-17,7440,7366.7,73.3,Y,2023-04-01,Completed,2021-12-05,Y,482,2019-03-08
Puintola-Tangi (NH-16) Six/Four Lane Highway Project,Substantial Expansion,7286,Completed,"Engineering, Procurement & Construction",April 2023,Puintola,Odisha,01 Jan 2018,Date of announcement,2020-08-09,7286,6169.9,1116.1,Y,2023-04-01,Completed,2020-03-31,Y,1096,2018-03-23
Madurai-Chettikulam (NH-785) Four Laning Elevated Highway (Flyover) Project,Substantial Expansion,6130,Completed,"Engineering, Procurement & Construction",April 2023,Chettikulam,Tamil Nadu,06 Feb 2018,Date of announcement,2023-04-06,6130,5490.9,639.1,Y,2023-04-08,Completed,2020-02-28,Y,1135,2018-04-03
Nagapattinam-Thanjavur (NH-83) Two-Laning Road Project,Substantial Expansion,4341.2,Under Implementation,"Engineering, Procurement & Construction",May 2023,Nagapattinam,Tamil Nadu,21 Nov 2008,Date of announcement,2022-07-21,4341.2,6190,-1848.8,N,2023-05-04,Completion expected by,2017-09-30,Y,2042,2015-03-17
Bar-Bilara-Jodhpur (NH-112) (New NH-25) Four Lane Highway Project,Substantial Expansion,8951.8,Completed,"Engineering, Procurement & Construction",May 2023,Barr,Rajasthan,31 Mar 2009,Date of announcement,2016-02-11,8951.8,4000,4951.8,Y,2023-05-10,Completed,2019-09-30,Y,1318,2016-06-30
Nani Bhadol village-Dodka village Eight Lane Access-Controlled Expressway Project (Package 31 of Delhi-Mumbai Expressway),Substantial Expansion,7894,Under Implementation,"Engineering, Procurement & Construction",May 2023,Dodka,Gujarat,31 Mar 1998,Date of announcement,2020-08-06,7894,7844.9,49.1,Y,2023-05-17,Completion expected by,2021-12-31,Y,502,2020-07-23
Majholi-Katra-Yajuar-Kharka Basant-Majhaur-Baher-Pupri-Charout (NH-527C)Two-Lane Highway Project,New Unit,5371.7,Under Implementation,"Engineering, Procurement & Construction",May 2023,Baher,Bihar,31 Aug 2012,Date of announcement,2021-12-16,5371.7,4000,1371.7,Y,2023-05-31,Completion expected by,2021-11-30,Y,547,2018-11-27
Tatibandh Chowk (NH-6/53) Flyover Project,New Unit,1200,Under Implementation,"Engineering, Procurement & Construction",May 2023,Tatibandh chowk,Chhattisgarh,07 Sep 2018,Date of announcement,2021-12-13,1200,886.7,313.3,Y,2023-05-31,Completion expected by,2020-08-31,Y,1003,2019-10-15
Pathrapali-Kathghora (NH-130) Four Lane Highway Project (Package 2 of Bilaspur-Kathghora section) (Bharatmala),New Unit,8600,Under Implementation,Hybrid Annuity,May 2023,Kathghora,Chhattisgarh,06 Sep 2018,Date of announcement,2023-05-05,8600,5751,2849,Y,2023-05-31,Completion expected by,2022-09-30,Y,243,2020-03-18
Vadape-Thane (NH-848) Six/Eight Laning Highway Project,Substantial Expansion,11830,Under Implementation,Hybrid Annuity,May 2023,Thane,Maharashtra,05 Aug 2016,Date of announcement,2018-03-29,11830,12437.5,-607.5,N,2023-05-31,Completion expected by,2020-03-31,Y,1156,2018-03-29
Package-1 of Rajasthan-Gujarat Border (Sanchore) to Santalpur (NH-754K) Six Lane Access Controlled Greenfield Highway Project (Part of Amritsar-Jamnagar Economic Corridor) (Bharatmala),New Unit,6433.4,Under Implementation,"Engineering, Procurement & Construction",June 2023,Sanchore,Rajasthan,01 Apr 2017,Date of announcement,2022-12-07,6433.4,5165.7,1267.7,Y,2023-06-21,Completion expected by,2022-12-31,Y,172,2020-06-22
Patna-Gaya-Dobhi (NH-83) Four Lane Highway Project,New Unit,16104.7,Under Implementation,Build Operate Transfer,June 2023,Dobhi,Bihar,30 Apr 2009,Date of announcement,2021-07-19,16104.7,4380,11724.7,Y,2023-06-30,Completion expected by,2015-06-01,Y,2951,2014-10-13
Tindivanam-Krishnagiri (NH-77) Two Laning Highway Project,New Unit,5620,Under Implementation,Build Operate Transfer,June 2023,Krishnagiri,Tamil Nadu,28 Oct 2009,Date of announcement,2017-10-31,5620,7533.8,-1913.8,N,2023-06-30,Completion expected by,2012-11-30,Y,3864,2011-05-31
Barhi-Koderma (NH-31) Four Laning Highway Project,Substantial Expansion,6657.5,Under Implementation,"Engineering, Procurement & Construction",June 2023,Barhi,Jharkhand,01 Dec 2015,Date of announcement,2022-12-21,6657.5,2823.8,3833.7,Y,2023-06-30,Completion expected by,2021-11-17,Y,590,2018-01-31
Kodebad-Dhamtari Four Laning (NH-30) Highway Project,New Unit,9671.9,Under Implementation,"Engineering, Procurement & Construction",June 2023,Dhamtari,Chhattisgarh,13 Oct 2010,Date of announcement,2019-12-02,9671.9,4461.7,5210.2,Y,2023-06-30,Completion expected by,2019-03-31,Y,1552,2016-11-22
Maheshkhunt-Saharsa-Purnea (NH-107 & 231) Two Laning Road Project (Package-II),Substantial Expansion,7360,Under Implementation,"Engineering, Procurement & Construction",June 2023,Maheshkhunt,Bihar,15 Jun 2010,Date of announcement,2018-04-29,7360,6419.6,940.4,Y,2023-06-30,Completion expected by,2020-03-31,Y,1186,2017-03-31
Maheshkoot-Saharsa-Purnea (NH-107 & 231) Two Laning Road Project (Package-I),Substantial Expansion,6445,Under Implementation,"Engineering, Procurement & Construction",June 2023,Maheshkhunt,Bihar,15 Jun 2010,Date of announcement,2021-04-02,6445,10000,-3555,N,2023-06-30,Completion expected by,2021-10-31,Y,607,2018-01-05
Pardi Flyover (NH-6) (on Urban Link to Nagpur-Raipur) Project,New Unit,4970,Under Implementation,"Engineering, Procurement & Construction",June 2023,Nagpur,Maharashtra,31 Mar 2012,Date of announcement,2022-06-19,4970,650,4320,Y,2023-06-30,Completion expected by,2019-03-30,Y,1553,2015-12-28
"Kiratpur-Ner Chowk Four-Laning (NH-3,154&205) Highway Project",New Unit,22910,Under Implementation,Hybrid Annuity,June 2023,Kiratpur sahib,Punjab,18 Jul 2011,Date of announcement,2012-05-31,22910,19167.9,3742.1,Y,2023-06-30,Completion expected by,2016-08-30,Y,2495,2012-02-02
Achhampeta Junction (NH-216)-Kakinada Anchorage Port Connecting Vakalpudi Light House (NH-516F) Four Laning Project,Substantial Expansion,957.9,Under Implementation,"Engineering, Procurement & Construction",July 2023,Achhampeta,Telangana,01 Jan 2021,Date of announcement,2022-12-21,957.9,902,55.9,Y,2023-07-12,Completion expected by,2023-01-31,Y,162,2021-11-10
Villukuri-Kanyakumari (NH-47 & NH-66) & Nagercoil-Kavalkinaru (NH-47B) Four Laning Highway Project,Substantial Expansion,13000,Under Implementation,"Engineering, Procurement & Construction",July 2023,Kanyakumari,Tamil Nadu,01 Dec 2003,Date of announcement,2021-07-09,13000,6411.7,6588.3,Y,2023-07-15,Completion expected by,2018-03-31,Y,1932,2016-02-25
Pararia-Mohania Four Lane Highway (NH-319) Project (Package 2 of Mohania-Arrah) (Bharatmala),Substantial Expansion,8560,Under Implementation,"Engineering, Procurement & Construction",July 2023,Mohania,Bihar,01 Jul 2011,Date of announcement,2020-09-22,8560,7277.4,1282.6,Y,2023-07-16,Completion expected by,2014-06-30,Y,3303,2011-08-11
Arrah-Pararia Four Lane Highway (NH-319) Project (Package 1 of Mohania-Arrah) (Bharatmala),Substantial Expansion,8860,Under Implementation,"Engineering, Procurement & Construction",July 2023,Arrah,Bihar,01 Jul 2011,Date of announcement,2020-09-22,8860,6904.8,1955.2,Y,2023-07-25,Completion expected by,2014-06-30,Y,3312,2011-08-11
Dewas-Ujjain Four Lane (NH-148NG) Highway Project,New Unit,9920,Under Implementation,Hybrid Annuity,July 2023,Dewas,Madhya Pradesh,01 Apr 2016,Date of announcement,2022-02-24,9920,5950,3970,Y,2023-07-31,Completion expected by,2022-07-06,Y,390,2020-10-29
Package-3 of Rajasthan-Gujarat Border (Sanchore)-Santalpur (NH-754K) Six Lane Access Controlled Greenfield Highway Project (Part of Amritsar-Jamnagar Economic Corridor) (Bharatmala),New Unit,7523,Under Implementation,"Engineering, Procurement & Construction",August 2023,Sanchore,Rajasthan,01 Apr 2017,Date of announcement,2022-12-07,7523,5952.7,1570.3,Y,2023-08-10,Completion expected by,2022-12-31,Y,222,2021-01-27
Mukkola-Kerala/Tamil Nadu Border (Karode) (NH-66) Four Laning Highway Project (Phase 2 of Kazhakuttam-Karode Highway) (Bharatmala),New Unit,11477.9,Under Implementation,"Engineering, Procurement & Construction",August 2023,Inchivila,Kerala,30 Mar 2012,Date of announcement,2021-07-19,11477.9,14000,-2522.1,N,2023-08-31,Completion expected by,2018-06-30,Y,1888,2016-04-13
Baletiya village-Nani Bhadol village Eight Lane Access-Controlled Expressway Project (Package 30 of Delhi-Mumbai Expressway),Substantial Expansion,11853.3,Under Implementation,"Engineering, Procurement & Construction",September 2023,Baletiya,Gujarat,31 Mar 1998,Date of announcement,2022-12-07,11853.3,9263.8,2589.5,Y,2023-09-07,Completion expected by,2021-12-31,Y,615,2020-10-05
Harda-Temagaon (NH-47) Four Lane Highway Project (Package 1 of Harda-Betul) (Bharatmala),New Unit,6760,Under Implementation,Hybrid Annuity,September 2023,Harda,Madhya Pradesh,14 Mar 2018,Date of announcement,2022-03-17,6760,4991.7,1768.3,Y,2023-09-10,Completion expected by,2022-06-30,Y,437,2020-03-05
Karala-Kanjhawala Road-Nangloi Najafgarh Six Lane Road (NH-344M) Project ( Package-2 of Delhi 3rd Ring Road Project or UER-2),New Unit,11210.4,Under Implementation,"Engineering, Procurement & Construction",September 2023,Kanjhawala,NCT of Delhi,01 Apr 2016,Date of announcement,2019-12-26,11210.4,11210.4,0,N,2023-10-30,Initial completion date,2023-09-15,Y,45,2021-07-23
Karala-Kanjhawala Six Lane (NH-344M) Road Project (Package 1 of Delhi 3rd Ring Road or UER-2),New Unit,15522.9,Under Implementation,"Engineering, Procurement & Construction",September 2023,Kanjhawala,NCT of Delhi,01 Apr 2016,Date of announcement,2019-12-26,15522.9,15522.9,0,N,2023-10-30,Initial completion date,2023-09-15,Y,45,2021-07-23
Nangloi Najafgarh Road-Dwarka Sector 24 Six Lane (NH-344M) Road Project (Package 3 of Delhi 3rd Ring Road or UER-2),New Unit,6853.1,Under Implementation,"Engineering, Procurement & Construction",September 2023,Dwarka sector 24,NCT of Delhi,01 Apr 2016,Date of announcement,2019-12-26,6853.1,6853.1,0,N,2023-10-30,Initial completion date,2023-09-15,Y,45,2021-08-12
Samrala Chowk-Ludhiana Municipal Limit (NH-95 & 5) Four Lane Highway Project,Substantial Expansion,8954.5,Under Implementation,"Engineering, Procurement & Construction",July 2023,Ludhiana municipal limit,Punjab,30 Sep 2014,Date of announcement,2021-07-22,8954.5,8677.2,277.3,Y,2023-10-31,Initial completion date,2018-09-30,Y,1857,2017-03-31
Bihar/Jharkhand Border (Chordaha)-Gorhar (NH-2) Six Laning Highway Project (Package-II),Substantial Expansion,16116.8,Under Implementation,"Engineering, Procurement & Construction",October 2023,Barwa-Adda,Jharkhand,01 Jun 2011,Date of announcement,2022-12-17,16116.8,9816.1,6300.7,Y,2023-10-31,Completion expected by,2020-08-07,Y,1180,2012-03-31
Meensurutti-Chidambaram (NH-81 & NH-227) Two/Four Lane Highway Project (Package-III of Trichy-Chidambaram) (Bharatmala),Substantial Expansion,7363.3,Under Implementation,Hybrid Annuity,October 2023,Chidambaram,Tamil Nadu,24 Nov 2017,Date of announcement,2022-07-21,7363.3,6335.5,1027.8,Y,2023-10-31,Completion expected by,2021-02-28,Y,975,2018-03-07
Lucknow Outer Ring Road (NH-56&24) Project,New Unit,58120,Under Implementation,Public Private Partnership,October 2023,Behta village,Uttar Pradesh,07 Sep 2008,Date of announcement,2019-05-02,58120,15000,43120,Y,2023-10-31,Completion expected by,2019-04-30,Y,1645,2017-01-03
Addahole-Bantwal Cross (NH-75) Four Lane Highway Project (Hassan-B.C. Road Pkg-II),New Unit,19240,Under Implementation,"Engineering, Procurement & Construction",November 2023,Addahole,Karnataka,01 Jul 2015,Date of announcement,2022-02-28,19240,8700,10540,Y,2023-11-23,Completion expected by,2019-09-30,Y,1515,2016-03-31
Solan-Kaithlighat (NH-5) (Parwanoo-Shimla Package-II) Two/Four Lane Highway Project,Substantial Expansion,11350.8,Under Implementation,"Engineering, Procurement & Construction",November 2023,Kaithalghat,Himachal Pradesh,10 Feb 2009,Date of announcement,2022-12-31,11350.8,5053.6,6297.2,Y,2023-11-30,Completion expected by,2021-05-30,Y,914,2018-03-28
Gurgaon-Pataudi-Rewari (NH-352W) Four-Laning Highway Project,Substantial Expansion,15240,Under Implementation,Hybrid Annuity,November 2023,Farukhnagar,Telangana,31 Jan 2015,Date of announcement,2020-07-14,15240,2910,12330,Y,2023-11-30,Completion expected by,2022-12-31,Y,334,2020-12-10
Ena-Kim Package-6 of Vadodara-Kim (Phase-1-Part-A) (NH-8) Expressway Project (Delhi-Mumbai Expressway),Substantial Expansion,22718.6,Under Implementation,Hybrid Annuity,December 2023,Ena,Gujarat,31 Mar 1998,Date of announcement,2022-12-07,22718.6,15126.6,7592,Y,2023-12-10,Completion expected by,2021-12-31,Y,709,2020-03-05
Angul-Sambalpur (NH-42) Highway Project,Substantial Expansion,24915.3,Under Implementation,"Engineering, Procurement & Construction",December 2023,Angul,Odisha,25 Oct 2010,Date of announcement,2016-06-29,24915.3,12408.3,12507,Y,2023-12-31,Completion expected by,2019-08-31,Y,1583,2011-11-30
Bakhtiyarpur-Mokama (NH-31) Four Laning Highway Project (Package 1 of Khagaria-Bakhtiarpur Highway),Substantial Expansion,8370,Under Implementation,"Engineering, Procurement & Construction",December 2023,Bakhtiarpur,Bihar,12 Aug 2008,Date of announcement,2022-06-25,8370,17038.2,-8668.2,N,2023-12-31,Completion expected by,2015-01-31,Y,3256,2011-12-03
Cuttack-Angul (NH-55) Highway Project,Substantial Expansion,19907,Under Implementation,"Engineering, Procurement & Construction",December 2023,Angul,Odisha,25 Oct 2010,Date of announcement,2018-06-30,19907,11173.2,8733.8,Y,2023-12-31,Completion expected by,2015-06-30,Y,3106,2011-11-30
Delhi-Saharanpur (NH-709B) Six Lane Highway Project (Bharatmala),Substantial Expansion,44050,Under Implementation,"Engineering, Procurement & Construction",December 2023,Akshardham,NCT of Delhi,01 Sep 2007,Date of announcement,2019-01-18,44050,12770,31280,Y,2023-12-31,Completion expected by,2013-12-31,Y,3652,2011-08-01
Jammu Four lane Ring Road Project,Substantial Expansion,20238.7,Under Implementation,"Engineering, Procurement & Construction",December 2023,Jammu,Jammu & Kashmir,01 Sep 2012,Date of announcement,2020-02-07,20238.7,13550,6688.7,Y,2023-12-31,Completion expected by,2020-12-31,Y,1095,2017-12-21
Purulia Bypass Four Lane Road (NH-32) Project,Substantial Expansion,1750,Under Implementation,"Engineering, Procurement & Construction",December 2023,Purulia,West Bengal,01 Nov 2020,Date of announcement,2022-11-17,1750,2358.3,-608.3,N,2023-12-31,Completion expected by,2023-08-04,Y,149,2021-08-18
Junction with NH-12 near village Ummedpura to Major bridge over Takli river near Nayagaon Jageer village Eight Lane Carriageway Project (Package 15) (Delhi-Mumbai Expressway),Substantial Expansion,10000.8,Under Implementation,"Engineering, Procurement & Construction",January 2024,Manoharpur,Rajasthan,31 Mar 1998,Date of announcement,2020-12-22,10000.8,9098.4,902.4,Y,2024-01-31,Completion expected by,2021-12-31,Y,761,2020-12-22
Panvel-Indapur (NH-17) Four Laning Highway Project (Mumbai-Goa NH 66 Highway) (Package-1),Substantial Expansion,13700,Under Implementation,Build Operate Transfer Toll,December 2023,Indapur,Maharashtra,01 Dec 2003,Date of announcement,2018-06-30,13700,9426.9,4273.1,Y,2024-02-28,Initial completion date,2014-06-16,Y,3544,2011-01-21
Srinagar Four Lane Ring Road (Galander-Sumbel Road) Project,Substantial Expansion,20126.1,Under Implementation,"Engineering, Procurement & Construction",February 2024,Galander,Jammu & Kashmir,01 Sep 2012,Date of announcement,2019-12-31,20126.1,9909.4,10216.7,Y,2024-02-28,Completion expected by,2021-02-28,Y,1095,2018-02-28
Varanasi Ring Road (NH-31) Project (Varanasi-Gorakhpur NH-29),New Unit,15000,Under Implementation,"Engineering, Procurement & Construction",February 2024,Varanasi,Uttar Pradesh,15 Jan 2000,Date of announcement,2018-03-05,15000,10000,5000,Y,2024-02-28,Completion expected by,2018-05-31,Y,2099,2018-01-13
Road cum Flyover to Paradip Port Project (serving as 2nd exit) (near Atharbanki Chowk),New Unit,930,Under Implementation,"Engineering, Procurement & Construction",March 2024,Paradip,Odisha,01 Apr 2018,Date of announcement,2020-12-30,930,1000,-70,N,2024-03-16,Completion expected by,2022-11-30,Y,472,2020-12-30
Talasari-Karvad Package-10 of Vadodara-Kim (Phase-1-Part-A) (NH-8) Expressway Project (Delhi-Mumbai Expressway),Substantial Expansion,19097.4,Under Implementation,Hybrid Annuity,March 2024,Karvad,Gujarat,31 Mar 1998,Date of announcement,2022-12-07,19097.4,11268,7829.4,Y,2024-03-21,Completion expected by,2021-12-31,Y,811,2021-03-30
Six Lane access controlled Highway from Junction with Sector-62/65 (on Faridabad -Ballabhgarh Bypass) to Junction near KMP E-way with NH-148N Project (Package-3) (Delhi-Mumbai Expressway),Substantial Expansion,9082,Completed,Hybrid Annuity,April 2023,Sector-62/65,Haryana,26 Dec 2018,Date of announcement,2019-02-28,9082,9082,0,N,2024-03-31,Initial completion date,2023-04-01,Y,365,2020-03-05
Sardar Patel Ring Road-Sindhrej Village (NH-751) Four Lane Expressway Project (Ahmedabad-Dholera Greenfield Alignment Package 1) (Bharatmala),New Unit,7935.4,Under Implementation,"Engineering, Procurement & Construction",March 2024,Sardar patel ring road,Gujarat,20 Mar 2010,Date of announcement,2018-12-28,7935.4,7935.4,0,N,2024-03-31,Completion expected by,2013-12-31,Y,3743,2020-11-18
Sindhrej Village-Vejalka Village (NH-751) Four Lane Expressway Project (Ahmedabad-Dholera Greenfield Alignment Package 2),New Unit,8946,Under Implementation,"Engineering, Procurement & Construction",March 2024,Sindhrej village,Gujarat,20 Mar 2010,Date of announcement,2018-12-28,8946,8946,0,N,2024-03-31,Completion expected by,2013-12-31,Y,3743,2020-11-16
